sciname,sp_name,group ,ISSCAAP_Group,M_dscrt_late,M_dsrt_early,Binary
Cyprinus carpio,Common carp,PISCES,"Carps, barbels and other cyprinids",0.34,0.54,Domesticated
Dentex dentex,Common dentex,PISCES,Miscellaneous coastal fishes,0.21,0.41,Capture-based
Pagellus erythrinus,Common pandora,PISCES,Miscellaneous coastal fishes,0.30,0.50,Capture-based
Centropomus undecimalis,Common snook,PISCES,Miscellaneous coastal fishes,0.46,0.66,Capture-based
Solea solea,Common sole,PISCES,"Flounders, halibuts, soles",0.25,0.45,Capture-based
Diplodus vulgaris,Common two-banded seabream,PISCES,Miscellaneous coastal fishes,0.40,0.60,Capture-based
Caranx hippos,Crevalle jack,PISCES,Miscellaneous pelagic fishes,0.66,0.86,Capture-based
Evynnis japonica,Crimson seabream,PISCES,Miscellaneous coastal fishes,0.35,0.55,Capture-based
Lutjanus erythropterus,Crimson snapper,PISCES,Miscellaneous coastal fishes,0.31,0.51,Capture-based
Muraenesox cinereus,Daggertooth pike conger,PISCES,Miscellaneous demersal fishes,0.28,0.48,Capture-based
Konosirus punctatus,Dotted gizzard shad,PISCES,Shads,0.48,0.68,Capture-based
Lutjanus sebae,Emperor red snapper,PISCES,Miscellaneous coastal fishes,0.17,0.37,Capture-based
Anguilla anguilla,European eel,PISCES,River eels,0.21,0.41,Capture-based
Platichthys flesus,European flounder,PISCES,"Flounders, halibuts, soles",0.22,0.42,Capture-based
Dicentrarchus labrax,European seabass,PISCES,Miscellaneous coastal fishes,0.17,0.37,Domesticated
Mugil cephalus,Flathead grey mullet,PISCES,Miscellaneous coastal fishes,0.28,0.48,Domesticated
Trachinotus carolinus,Florida pompano,PISCES,Miscellaneous pelagic fishes,0.61,0.81,Capture-based
Eleutheronema tetradactylum,Fourfinger threadfin,PISCES,Miscellaneous coastal fishes,0.48,0.68,Capture-based
Epinephelus lanceolatus,Giant grouper,PISCES,Miscellaneous coastal fishes,0.27,0.47,Capture-based
Caranx ignobilis,Giant trevally,PISCES,Miscellaneous pelagic fishes,0.38,0.58,Capture-based
Sparus aurata,Gilthead seabream,PISCES,Miscellaneous coastal fishes,0.34,0.54,Domesticated
Gnathanodon speciosus,Golden trevally,PISCES,Miscellaneous pelagic fishes,0.54,0.74,Capture-based
Rhabdosargus sarba,Goldlined seabream,PISCES,Miscellaneous coastal fishes,0.63,0.83,Capture-based
Acanthopagrus berda,Goldsilk seabream,PISCES,Miscellaneous coastal fishes,0.33,0.53,Capture-based
Epinephelus tauvina,Greasy grouper,PISCES,Miscellaneous coastal fishes,0.20,0.40,Capture-based
Seriola dumerili,Greater amberjack,PISCES,Miscellaneous pelagic fishes,0.44,0.64,Capture-based
Bolbometopon muricatum,Green humphead parrotfish,PISCES,Miscellaneous coastal fishes,0.13,0.33,Capture-based
Melanogrammus aeglefinus,Haddock,PISCES,"Cods, hakes, haddocks",0.30,0.50,Capture-based
Epinephelus akaara,Hong Kong grouper,PISCES,Miscellaneous coastal fishes,0.27,0.47,Capture-based
Cromileptes altivelis,Humpback grouper,PISCES,Miscellaneous coastal fishes,0.30,0.50,Capture-based
Seriola quinqueradiata,Japanese amberjack,PISCES,Miscellaneous pelagic fishes,0.44,0.64,Capture-based
