,ID,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
21,"Anguilla anguilla_France_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,France,"Atlantic, Northeast",22.7,19.8,26.5,26.86,26.86,26.86,4.16,0.36,7.06,0.41,0.21,34,0,1,0.12
22,Anguilla anguilla_France_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,France,Mediterranean and Black Sea,20,17.5,23.3,23.7,23.7,23.7,3.7,0.4,6.2,0.41,0.21,30,0,1,0.12
23,"Anguilla anguilla_Germany_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Germany,"Atlantic, Northeast",26,22.8,30.3,30.81,30.81,30.81,4.81,0.51,8.01,0.41,0.21,39,0,1,0.12
24,Anguilla anguilla_Greece_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,Greece,Mediterranean and Black Sea,31.3,27.4,36.5,37.13,37.13,37.13,5.83,0.63,9.73,0.41,0.21,47,0,1,0.12
25,Anguilla anguilla_Italy_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,Italy,Mediterranean and Black Sea,59.2,51.8,69.1,70.31,70.31,70.31,11.11,1.21,18.51,0.41,0.21,89,0,1,0.12
26,"Anguilla anguilla_Netherlands_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Netherlands,"Atlantic, Northeast",9.3,8.1,10.8,11.06,11.06,11.06,1.76,0.26,2.96,0.41,0.21,14,0,1,0.13
27,"Anguilla anguilla_Norway_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Norway,"Atlantic, Northeast",2.7,2.4,3.2,3.16,3.16,3.16,0.46,-0.04,0.76,0.41,0.21,4,0,1,0.12
28,"Anguilla anguilla_Poland_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Poland,"Atlantic, Northeast",39.3,34.4,45.8,46.61,46.61,46.61,7.31,0.81,12.21,0.41,0.21,59,0,1,0.12
29,"Anguilla anguilla_Portugal_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Portugal,"Atlantic, Northeast",3.3,2.9,3.9,3.95,3.95,3.95,0.65,0.05,1.05,0.41,0.21,5,0,1,0.13
30,"Anguilla anguilla_Russian Federation_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Russian Federation,"Atlantic, Northeast",4,3.5,4.7,4.74,4.74,4.74,0.74,0.04,1.24,0.41,0.21,6,0,1,0.12
31,"Anguilla anguilla_Spain_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Spain,"Atlantic, Northeast",23.9,21,28,28.44,28.44,28.44,4.54,0.44,7.44,0.41,0.21,36,0,1,0.13
32,Anguilla anguilla_Spain_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,Spain,Mediterranean and Black Sea,12.6,11.1,14.8,15.01,15.01,15.01,2.41,0.21,3.91,0.41,0.21,19,0,1,0.13
33,"Anguilla anguilla_Sweden_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,Sweden,"Atlantic, Northeast",120.6,105.5,140.6,142.99,142.99,142.99,22.39,2.39,37.49,0.41,0.21,181,0,1,0.12
34,Anguilla anguilla_Tunisia_Mediterranean and Black Sea,European eel,Anguilla anguilla,finfish,River eels,Tunisia,Mediterranean and Black Sea,165.1,144.5,192.6,195.92,195.92,195.92,30.82,3.32,51.42,0.41,0.21,248,0,1,0.12
35,"Anguilla anguilla_United Kingdom_Atlantic, Northeast",European eel,Anguilla anguilla,finfish,River eels,United Kingdom,"Atlantic, Northeast",1.3,1.2,1.5,1.58,1.58,1.58,0.28,0.08,0.38,0.41,0.21,2,0,1,0.14
36,Atherina boyeri_Bulgaria_Mediterranean and Black Sea,Big-scale sand smelt,Atherina boyeri,finfish,Miscellaneous pelagic fishes,Bulgaria,Mediterranean and Black Sea,3.7,3.3,4.4,17.5,17.5,17.5,13.8,13.1,14.2,0.85,0.65,50,0,1,0.28
37,Atherina boyeri_Croatia_Mediterranean and Black Sea,Big-scale sand smelt,Atherina boyeri,finfish,Miscellaneous pelagic fishes,Croatia,Mediterranean and Black Sea,0.5,0.4,0.5,2.1,2.1,2.1,1.6,1.6,1.7,0.85,0.65,6,0,1,0.27
38,Atherina boyeri_Russian Federation_Mediterranean and Black Sea,Big-scale sand smelt,Atherina boyeri,finfish,Miscellaneous pelagic fishes,Russian Federation,Mediterranean and Black Sea,9.5,8.3,11.1,44.45,44.45,44.45,34.95,33.35,36.15,0.85,0.65,127,0,1,0.28
39,Atherina boyeri_Ukraine_Mediterranean and Black Sea,Big-scale sand smelt,Atherina boyeri,finfish,Miscellaneous pelagic fishes,Ukraine,Mediterranean and Black Sea,16.5,14.4,19.2,77,77,77,60.5,57.8,62.6,0.85,0.65,220,0,1,0.28
40,"Bolbometopon muricatum_Saudi Arabia_Indian Ocean, Western",Green humphead parrotfish,Bolbometopon muricatum,finfish,Miscellaneous coastal fishes,Saudi Arabia,"Indian Ocean, Western",139.1,121.7,162.3,145.29,145.29,145.29,6.19,-17.01,23.59,0.33,0.13,167,0,1,0.04
41,"Carangoides malabaricus_Qatar_Indian Ocean, Western",Malabar trevally,Carangoides malabaricus,finfish,Miscellaneous pelagic fishes,Qatar,"Indian Ocean, Western",1.3,1.1,1.5,44.22,44.22,44.22,42.92,42.72,43.12,0.98,0.78,201,0,1,0.21
42,"Carangoides malabaricus_Saudi Arabia_Indian Ocean, Western",Malabar trevally,Carangoides malabaricus,finfish,Miscellaneous pelagic fishes,Saudi Arabia,"Indian Ocean, Western",0.6,0.5,0.7,21.56,21.56,21.56,20.96,20.86,21.06,0.98,0.78,98,0,1,0.21
43,"Caranx hippos_Angola_Atlantic, Southeast",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Angola,"Atlantic, Southeast",37.3,32.6,43.5,186.32,186.32,186.32,149.02,142.82,153.72,0.86,0.66,548,0,1,0.27
44,"Caranx hippos_Cameroon_Atlantic, Eastern Central",Crevalle jack,Caranx hippos,finfish,Miscellaneous pelagic fishes,Cameroon,"Atlantic, Eastern Central",4.7,4.1,5.5,23.46,23.46,23.46,18.76,17.96,19.36,0.86,0.66,69,0,1,0.27
