ID,Sci_Name,Common,ISSCAAP,Sp.grp,Year,Country_name,Fishing_Area,Fishing_name,CAPSUM_tonnes,AQSUM_tonnes,TOTAL_tonnes,Binary,Early_M,Late_M
Diplodus vulgaris_Malta_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Malta,37,Mediterranean and Black Sea,1,0,1,CBA,0.6,0.4
"Diplodus vulgaris_Portugal_Atlantic, Northeast",Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Portugal,27,"Atlantic, Northeast",368,0,368,CBA,0.6,0.4
"Diplodus vulgaris_Spain_Atlantic, Northeast",Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Spain,27,"Atlantic, Northeast",93,0,93,CBA,0.6,0.4
Diplodus vulgaris_Spain_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Spain,37,Mediterranean and Black Sea,62,0,62,CBA,0.6,0.4
Diplodus vulgaris_Tunisia_Mediterranean and Black Sea,Diplodus vulgaris,Common two-banded seabream,Miscellaneous coastal fishes,finfish,2016,Tunisia,37,Mediterranean and Black Sea,89,0,89,CBA,0.6,0.4
"Eleutheronema tetradactylum_Indonesia_Indian Ocean, Eastern",Eleutheronema tetradactylum,Fourfinger threadfin,Miscellaneous coastal fishes,finfish,2016,Indonesia,57,"Indian Ocean, Eastern",766,0,766,CBA,0.68,0.48
"Eleutheronema tetradactylum_Indonesia_Pacific, Western Central",Eleutheronema tetradactylum,Fourfinger threadfin,Miscellaneous coastal fishes,finfish,2016,Indonesia,71,"Pacific, Western Central",8675,0,8675,CBA,0.68,0.48
"Eleutheronema tetradactylum_Iran (Islamic Rep. of)_Indian Ocean, Western",Eleutheronema tetradactylum,Fourfinger threadfin,Miscellaneous coastal fishes,finfish,2016,Iran (Islamic Rep. of),51,"Indian Ocean, Western",1596,0,1596,CBA,0.68,0.48
"Eleutheronema tetradactylum_Kuwait_Indian Ocean, Western",Eleutheronema tetradactylum,Fourfinger threadfin,Miscellaneous coastal fishes,finfish,2016,Kuwait,51,"Indian Ocean, Western",37,0,37,CBA,0.68,0.48
"Eleutheronema tetradactylum_Pakistan_Indian Ocean, Western",Eleutheronema tetradactylum,Fourfinger threadfin,Miscellaneous coastal fishes,finfish,2016,Pakistan,51,"Indian Ocean, Western",265,0,265,CBA,0.68,0.48
"Eleutheronema tetradactylum_Taiwan Province of China_Pacific, Northwest",Eleutheronema tetradactylum,Fourfinger threadfin,Miscellaneous coastal fishes,finfish,2016,Taiwan Province of China,61,"Pacific, Northwest",584,0,584,CBA,0.68,0.48
"Epinephelus areolatus_Egypt_Indian Ocean, Western",Epinephelus areolatus,Areolate grouper,Miscellaneous coastal fishes,finfish,2016,Egypt,51,"Indian Ocean, Western",102,0,102,CBA,0.54,0.34
"Epinephelus areolatus_Saudi Arabia_Indian Ocean, Western",Epinephelus areolatus,Areolate grouper,Miscellaneous coastal fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",478,0,478,CBA,0.54,0.34
"Epinephelus coioides_Iran (Islamic Rep. of)_Indian Ocean, Western",Epinephelus coioides,Orange-spotted grouper,Miscellaneous coastal fishes,finfish,2016,Iran (Islamic Rep. of),51,"Indian Ocean, Western",4666,0,4666,CBA,0.41,0.21
"Epinephelus coioides_Saudi Arabia_Indian Ocean, Western",Epinephelus coioides,Orange-spotted grouper,Miscellaneous coastal fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",47,0,47,CBA,0.41,0.21
"Epinephelus coioides_United Arab Emirates_Indian Ocean, Western",Epinephelus coioides,Orange-spotted grouper,Miscellaneous coastal fishes,finfish,2016,United Arab Emirates,51,"Indian Ocean, Western",8010,0,8010,CBA,0.41,0.21
"Epinephelus fuscoguttatus_Saudi Arabia_Indian Ocean, Western",Epinephelus fuscoguttatus,Brown-marbled grouper,Miscellaneous coastal fishes,finfish,2016,Saudi Arabia,51,"Indian Ocean, Western",56,0,56,CBA,0.46,0.26
"Epinephelus tauvina_Egypt_Indian Ocean, Western",Epinephelus tauvina,Greasy grouper,Miscellaneous coastal fishes,finfish,2016,Egypt,51,"Indian Ocean, Western",85,0,85,CBA,0.4,0.2
"Epinephelus tauvina_Indonesia_Indian Ocean, Eastern",Epinephelus tauvina,Greasy grouper,Miscellaneous coastal fishes,finfish,2016,Indonesia,57,"Indian Ocean, Eastern",5770,0,5770,CBA,0.4,0.2
"Epinephelus tauvina_Indonesia_Pacific, Western Central",Epinephelus tauvina,Greasy grouper,Miscellaneous coastal fishes,finfish,2016,Indonesia,71,"Pacific, Western Central",12625,0,12625,CBA,0.4,0.2
