,Sp_name,Sci_name,Group,ISSCAAP,Country,Fishing_area,AQ_median,AQ_q25,AQ_q75,AQ_medianNOW,AQ_q25NOW,AQ_q75NOW,Net_Median,Net_q25,Net_q75,Larval_M,Adult_M,CAPSUM_tonnes,AQSUM_tonnes,Positive,Percent_spared
90,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Cyprus,Mediterranean and Black Sea,8.4,7.4,9.8,9.1,9.1,9.1,0.7,-0.7,1.7,0.55,0.35,14,0,1,0.05
91,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Egypt,Mediterranean and Black Sea,274.6,240.3,320.4,295.75,295.75,295.75,21.15,-24.65,55.45,0.55,0.35,455,0,1,0.05
92,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,France,"Atlantic, Northeast",179.9,157.4,209.9,193.7,193.7,193.7,13.8,-16.2,36.3,0.55,0.35,298,0,1,0.05
93,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,France,Mediterranean and Black Sea,40.4,35.4,47.2,43.55,43.55,43.55,3.15,-3.65,8.15,0.55,0.35,67,0,1,0.05
94,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Greece,Mediterranean and Black Sea,204.6,179.1,238.7,220.35,220.35,220.35,15.75,-18.35,41.25,0.55,0.35,339,0,1,0.05
95,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Italy,Mediterranean and Black Sea,105.6,92.4,123.2,113.55,113.25,114.05,7.95,-9.15,20.85,0.55,0.35,171,4,1,0.05
96,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Lebanon,Mediterranean and Black Sea,144.2,126.2,168.3,155.35,155.35,155.35,11.15,-12.95,29.15,0.55,0.35,239,0,1,0.05
97,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Libya,Mediterranean and Black Sea,301.8,264,352,325,325,325,23.2,-27,61,0.55,0.35,500,0,1,0.05
98,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Lithuania,"Atlantic, Eastern Central",3,2.6,3.5,3.25,3.25,3.25,0.25,-0.25,0.65,0.55,0.35,5,0,1,0.05
99,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Malta,Mediterranean and Black Sea,7.9,6.8,9.2,8.45,8.45,8.45,0.55,-0.75,1.65,0.55,0.35,13,0,1,0.04
100,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Portugal,"Atlantic, Northeast",244.3,213.8,285,262.95,262.65,263.35,18.65,-21.65,48.85,0.55,0.35,401,3.77,1,0.05
101,White seabream,Diplodus sargus,finfish,Miscellaneous coastal fishes,Spain,"Atlantic, Northeast",416.5,364.4,485.9,448.35,448.15,448.65,31.85,-37.25,83.75,0.55,0.35,687,2.975,1,0.05
